"","Title","Prod_year","Is_sequel","Run_time","Creative_type","Source","Prod_method","Genre","Prod_budget","Dom_BO","Intl_BO","Total_BO","Infl_Adj_Dom_BO","MPAA_rating","Rel_date_TH","Keywords","Prod_company","Opening_rev","Opening_theaters"
"2813","Gone, Baby, Gone",2007,0,114,"Contemporary Fiction","Based on Fiction Book/Short Story","Live Action","Drama",19000000,20300218,14051944,34352162,26260456,"R",2007-10-19,"Gone, Baby, Gone - Private Investigator","Ladd Company",5501406,1713
"2814","The Man From Earth",2007,0,NA,"Science Fiction","Original Screenplay","Live Action","Drama",200000,0,0,0,0,NA,2007-10-19,NA,NA,0,0
"2815","Rendition",2007,0,122,"Contemporary Fiction","Original Screenplay","Live Action","Thriller/Suspense",27500000,9736045,17203880,26939925,12594586,"R",2007-10-19,"Rendition - Terrorism",NA,4060012,2250
"2816","Wristcutters: A Love Story",2007,0,NA,"Fantasy","Based on Fiction Book/Short Story","Live Action","Comedy",1000000,446165,27604,473769,577156,"R",2007-10-19,NA,NA,42808,3
"2817","Out of the Blue",2007,0,NA,"Dramatization","Based on Fiction Book/Short Story","Live Action","Drama",4600000,728,731039,731767,935,"Not Rated",2007-10-19,NA,NA,728,1
"2818","Things We Lost in the Fire",2007,0,119,"Contemporary Fiction","Original Screenplay","Live Action","Drama",16000000,3287315,4832833,8120148,4252482,"R",2007-10-19,NA,NA,1561949,1142
"2819","The Ten Commandments",2007,0,NA,"Historical Fiction","Based on Religious Text","Digital Animation","Adventure",10000000,952820,99087,1051907,1232570,"PG",2007-10-19,"The Ten Commandments - Religious",NA,478910,830
"2820","Bella",2007,0,91,"Contemporary Fiction","Original Screenplay","Live Action","Drama",3300000,8093373,4312100,12405473,10446437,"PG-13",2007-10-26,NA,NA,1328448,165
"2821","Saw IV",2007,1,95,"Contemporary Fiction","Original Screenplay","Live Action","Horror",10000000,63300095,72459599,135759694,81885296,"R",2007-10-26,"Saw IV - Serial Killer","Twisted Pictures",31756764,3183
"2822","American Gangster",2007,0,157,"Dramatization","Based on Factual Book/Article","Live Action","Drama",100000000,130164645,137820811,267985456,168326786,"R",2007-11-02,"American Gangster - Vietnam War","Relativity Media",43565135,3054
"2823","Bee Movie",2006,0,90,"Kids Fiction","Original Screenplay","Digital Animation","Adventure",150000000,126631277,160963300,287594577,163696605,"PG",2007-11-02,"Bee Movie - Animal Lead","Dreamworks Animation",38021044,3928
"2824","Martian Child",2007,0,108,"Contemporary Fiction","Based on Fiction Book/Short Story","Live Action","Drama",27000000,7500310,1851779,9352089,9702433,"PG",2007-11-02,"The Martian Child - Unexpected Families",NA,3376669,2020
"2825","Holly",2007,0,NA,"Contemporary Fiction","Original Screenplay","Live Action","Drama",3000000,163069,0,163069,207975,"R",2007-11-09,"Holly - Prostitution",NA,32406,1
"2826","Lions for Lambs",2007,0,88,"Contemporary Fiction","Original Screenplay","Live Action","Drama",35000000,14998070,48213018,63211088,19398333,"R",2007-11-09,"Lions for Lambs - War","United Artists",6702434,2215
"2827","Southland Tales",2007,0,NA,"Contemporary Fiction","Original Screenplay","Live Action","Musical",17000000,275380,89227,364607,356231,"R",2007-11-14,"Southland Tales - Film Noir",NA,123428,63
"2828","Love in the Time of Cholera",2007,0,133,"Historical Fiction","Based on Fiction Book/Short Story","Live Action","Drama",45000000,4617608,26459810,31077418,5973351,"R",2007-11-16,NA,NA,1924860,852
"2829","Beowulf",2007,0,115,"Fantasy","Based on Fiction Book/Short Story","Digital Animation","Adventure",150000000,82195215,112800000,194995215,106380410,"PG-13",2007-11-16,"Beowulf - Good vs. Evil","Paramount Pictures",27515871,3153
"2830","Redacted",2007,0,NA,"Dramatization","Based on Real Life Events","Live Action","Drama",5000000,65388,795937,861325,84586,"R",2007-11-16,"Redacted - War",NA,25628,15
"2831","This Christmas",2007,0,118,"Contemporary Fiction","Original Screenplay","Live Action","Drama",13000000,49121934,611611,49733545,63544354,"PG-13",2007-11-21,"This Christmas - Christmas in November",NA,17958183,1858
"2832","No Country for Old Men",2007,0,122,"Historical Fiction","Based on Fiction Book/Short Story","Live Action","Action",25000000,74273505,89777745,164051250,94485310,"R",2007-11-21,"No Country for Old Men - Organized Crime","Scott Rudin",1226333,28
"2833","I'm Not There",2007,0,135,"Dramatization","Based on Real Life Events","Live Action","Drama",20000000,4017609,8380004,12397613,5157995,"R",2007-11-21,"I'm Not There - Biography",NA,730819,130
"2834","Hitman",2007,0,95,"Contemporary Fiction","Original Screenplay","Live Action","Action",17500000,39687694,59447877,99135571,51316466,"R",2007-11-21,"Hitman - Hitmen",NA,13180769,2458
"2835","August Rush",2007,0,114,"Fantasy","Based on Real Life Events","Live Action","Drama",25000000,31664162,34351707,66015869,40880326,"PG",2007-11-21,"August Rush - Musicians",NA,9421369,2310
"2836","The Mist",2007,0,126,"Science Fiction","Based on Fiction Book/Short Story","Live Action","Horror",13000000,25593755,31595653,57189408,33094250,"R",2007-11-21,"The Mist - Monster",NA,8931973,2423
"2837","Enchanted",2007,0,108,"Fantasy","Original Screenplay","Animation/Live Action","Romantic Comedy",85000000,127706877,212677264,340384141,164775962,"PG",2007-11-21,"Enchanted - Prince/Princess","Walt Disney Pictures",34440317,3730
"2838","The Savages",2007,0,114,"Contemporary Fiction","Original Screenplay","Live Action","Drama",9000000,6623082,4018941,10642023,8316080,"R",2007-11-28,NA,NA,151859,4
"2839","Maurice Richard",2007,0,NA,"Dramatization","Based on Real Life Events","Live Action","Drama",8000000,0,0,0,0,"PG",2007-11-30,"The Rocket - Biography",NA,0,0
"2840","Awake",2007,0,84,"Contemporary Fiction","Original Screenplay","Live Action","Thriller/Suspense",8600000,14373825,18594823,32968648,18581349,"R",2007-11-30,"Awake - Medical and Hospitals",NA,5856872,2002
"2841","Le Scaphandre et le Papillon",2007,0,112,"Dramatization","Based on Fiction Book/Short Story","Live Action","Drama",14000000,5990075,16764397,22754472,7503875,"PG-13",2007-11-30,"Le Scaphandre et le Papillon - Biography","The Kennedy/Marshall Company",75721,3
"2842","Juno",2007,0,96,"Contemporary Fiction","Original Screenplay","Live Action","Comedy",7000000,143495265,87954837,231450102,179571144,"PG-13",2007-12-05,"Juno - Unexpected Families","Mandate Pictures",413869,7
"2843","Atonement",2007,0,123,"Historical Fiction","Based on Fiction Book/Short Story","Live Action","Drama",30000000,50980159,78799569,129779728,64228034,"R",2007-12-07,"Atonement - Coming of Age","Relativity Media",796836,32
